name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
TotalRevenue,"137,237,000,000","137,237,000,000","147,049,000,000","145,588,000,000","166,380,000,000","152,356,000,000","155,929,000,000","155,427,000,000","152,256,000,000","150,276,000,000","135,592,000,000","104,589,000,000","148,979,000,000"
CostOfRevenue,"123,265,000,000","123,265,000,000","132,954,000,000","125,997,000,000","145,125,000,000","134,054,000,000","142,121,000,000","137,373,000,000","141,443,000,000","131,171,000,000","118,792,000,000","112,195,000,000","149,257,000,000"
GrossProfit,"13,972,000,000","13,972,000,000","14,095,000,000","19,591,000,000","21,255,000,000","18,302,000,000","13,808,000,000","18,054,000,000","10,813,000,000","19,105,000,000","16,800,000,000","-7,606,000,000","-278,000,000"
OperatingExpense,"8,491,000,000","8,491,000,000","9,650,000,000","9,575,000,000","11,710,000,000","13,405,000,000","12,158,000,000","12,382,000,000","14,031,000,000","12,163,000,000","11,716,000,000","13,329,000,000","20,342,000,000"
	SellingGeneralAndAdministration,"8,491,000,000","8,491,000,000","9,650,000,000","9,575,000,000","11,710,000,000","13,405,000,000","12,158,000,000","12,382,000,000","13,593,000,000","12,163,000,000","11,716,000,000","12,167,000,000","14,253,000,000"
	OperatingExpense,"8,491,000,000","8,491,000,000","9,650,000,000","9,575,000,000","11,710,000,000","13,405,000,000","12,158,000,000","12,382,000,000","14,031,000,000","12,163,000,000","11,716,000,000","13,329,000,000","20,342,000,000"
OperatingIncome,"5,481,000,000","5,481,000,000","4,445,000,000","10,016,000,000","9,545,000,000","4,897,000,000","1,650,000,000","5,672,000,000","-3,218,000,000","6,942,000,000","5,084,000,000","-20,935,000,000","-20,620,000,000"
InterestExpense,"782,000,000","782,000,000","655,000,000","575,000,000","572,000,000","443,000,000","403,000,000","334,000,000","489,000,000","540,000,000","1,098,000,000","6,122,000,000","2,525,000,000"
OtherIncomeExpense,"2,308,000,000","2,308,000,000","4,424,000,000","2,132,000,000","2,526,000,000","3,095,000,000","2,788,000,000","1,874,000,000","-26,893,000,000","-1,268,000,000",,"128,258,000,000","-6,836,000,000"
PretaxIncome,"7,436,000,000","7,436,000,000","8,549,000,000","11,863,000,000","11,684,000,000","7,718,000,000","4,246,000,000","7,458,000,000","-30,257,000,000","5,985,000,000","5,737,000,000","102,493,000,000","-29,471,000,000"
TaxProvision,"769,000,000","769,000,000","474,000,000","11,533,000,000","2,416,000,000","-1,897,000,000","228,000,000","2,127,000,000","-34,831,000,000","110,000,000","672,000,000","-2,166,000,000","1,766,000,000"
NetIncomeContinuousOperations,"6,667,000,000","6,667,000,000","8,075,000,000","330,000,000","9,268,000,000","9,615,000,000","4,018,000,000","5,331,000,000","6,136,000,000","9,287,000,000","6,503,000,000","105,217,000,000","-31,051,000,000"
NetIncome,"6,732,000,000","6,732,000,000","8,014,000,000","-3,864,000,000","9,427,000,000","9,687,000,000","3,949,000,000","5,346,000,000","6,188,000,000","9,190,000,000","6,172,000,000","104,821,000,000","-30,943,000,000"
NetIncomeCommonStockholders,"6,581,000,000","6,581,000,000","7,916,000,000","-3,880,000,000","9,427,000,000","9,687,000,000","2,804,000,000","3,770,000,000","4,859,000,000","7,585,000,000","4,668,000,000","104,690,000,000","-30,943,000,000"
BasicEPS,,,"5.61","-2.65","6.12","6.11","1.75","2.71","3.1","4.94","3.11","113.18","-53.47"
DilutedEPS,,,"5.53","-2.65","6","5.91","1.65","2.38","2.92","4.58","2.89","113.18","-53.47"
BasicAverageShares,,,"1,411,000,000","1,465,000,000","1,540,000,000","1,586,000,000","1,605,000,000","1,393,000,000","1,566,000,000","1,536,000,000","1,500,000,000","925,000,000","579,000,000"
DilutedAverageShares,,,"1,431,000,000","1,492,000,000","1,570,000,000","1,640,000,000","1,687,000,000","1,676,000,000","1,675,000,000","1,668,000,000","1,624,000,000","925,000,000","579,000,000"
Ebitda,,"22,336,000,000","22,873,000,000","24,699,000,000","22,664,000,000","16,178,000,000","11,887,000,000","15,833,000,000","8,994,000,000","13,869,000,000","13,758,000,000","123,766,000,000","-16,743,000,000"