name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalAssets,"34,309,000,000","29,739,614,000","28,655,372,000","22,664,076,000","8,092,460,000","5,849,251,000","2,416,930,000","1,114,190,000","713,448,000","386,082,000","130,424,000","51,699,000","34,837,000"
	CurrentAssets,"12,103,000,000","8,306,308,000","6,570,520,000","6,259,796,000","2,791,568,000","3,198,657,000","1,265,939,000","524,768,000","372,838,000","235,886,000","100,559,000","31,427,000","22,308,000"
		CashCashEquivalentsAndShortTermInvestments,"6,268,000,000","3,685,618,000","3,367,914,000","3,393,216,000","1,196,908,000","1,905,713,000","845,889,000","201,890,000","280,327,000","99,558,000","69,627,000","9,277,000","17,211,000"
			CashAndCashEquivalents,"6,268,000,000","3,685,618,000","3,367,914,000","3,393,216,000","1,196,908,000","1,905,713,000","845,889,000","201,890,000","255,266,000","99,558,000","69,627,000","9,277,000","17,211,000"
			OtherShortTermInvestments,,,,,,,,"0","25,061,000",,,,
			CashCashEquivalentsAndShortTermInvestments,"6,268,000,000","3,685,618,000","3,367,914,000","3,393,216,000","1,196,908,000","1,905,713,000","845,889,000","201,890,000","280,327,000","99,558,000","69,627,000","9,277,000","17,211,000"
		AccountsReceivable,"1,324,000,000","949,022,000","515,381,000","499,142,000","168,965,000","226,604,000","49,109,000","26,842,000","9,539,000","6,710,000","3,488,000","3,320,000","59,000"
		Inventory,"3,552,000,000","3,113,446,000","2,263,537,000","2,067,454,000","1,277,838,000","953,675,000","340,355,000","268,504,000","50,082,000","45,182,000","23,222,000","16,650,000","2,108,000"
		CurrentAssets,"12,103,000,000","8,306,308,000","6,570,520,000","6,259,796,000","2,791,568,000","3,198,657,000","1,265,939,000","524,768,000","372,838,000","235,886,000","100,559,000","31,427,000","22,308,000"
	TotalNonCurrentAssets,"22,206,000,000","21,433,306,000","22,084,852,000","16,404,280,000","5,300,892,000","2,650,594,000","1,150,991,000","589,421,000","340,610,000","150,196,000","29,865,000","20,272,000","12,529,000"
		NetPPE,"20,199,000,000","19,691,231,000","20,491,616,000","15,036,917,000","5,194,737,000","2,596,011,000","1,120,919,000","562,300,000","310,171,000","122,599,000","23,535,000","18,793,000","11,998,000"
			GrossPPE,"31,925,000,000","22,885,847,000","22,435,520,000","16,054,559,000","5,765,863,000","2,888,601,000","1,261,061,000","619,843,000","342,393,000","144,592,000","36,265,000","25,619,000","15,196,000"
			AccumulatedDepreciation,"-11,726,000,000","-3,194,616,000","-1,943,904,000","-1,017,642,000","-571,126,000","-292,590,000","-140,142,000","-57,543,000","-32,222,000","-21,993,000","-12,730,000","-6,826,000","-3,198,000"
			NetPPE,"20,199,000,000","19,691,231,000","20,491,616,000","15,036,917,000","5,194,737,000","2,596,011,000","1,120,919,000","562,300,000","310,171,000","122,599,000","23,535,000","18,793,000","11,998,000"
		Goodwill,"198,000,000","68,159,000","60,237,000",,,,,,,,,,
		OtherIntangibleAssets,"339,000,000","282,492,000","361,502,000","376,145,000",,,"13,930,000","14,267,000",,,,,
		OtherNonCurrentAssets,"1,077,000,000","969,876,000","714,845,000","484,916,000","106,155,000","54,583,000","8,827,000","7,095,000","30,439,000","27,597,000","6,330,000","1,479,000","531,000"
		TotalNonCurrentAssets,"22,206,000,000","21,433,306,000","22,084,852,000","16,404,280,000","5,300,892,000","2,650,594,000","1,150,991,000","589,421,000","340,610,000","150,196,000","29,865,000","20,272,000","12,529,000"
	TotalAssets,"34,309,000,000","29,739,614,000","28,655,372,000","22,664,076,000","8,092,460,000","5,849,251,000","2,416,930,000","1,114,190,000","713,448,000","386,082,000","130,424,000","51,699,000","34,837,000"
TotalAssets,"34,309,000,000","29,739,614,000","28,655,372,000","22,664,076,000","8,092,460,000","5,849,251,000","2,416,930,000","1,114,190,000","713,448,000","386,082,000","130,424,000","51,699,000","34,837,000"
	TotalLiabilitiesNetMinorityInterest,"26,842,000,000","23,981,974,000","23,420,784,000","17,125,990,000","7,003,516,000","4,937,541,000","1,749,810,000","989,490,000","489,403,000","179,034,000","383,947,000","251,413,000","152,683,000"
		CurrentLiabilities,"10,667,000,000","9,992,136,000","7,674,670,000","5,827,005,000","2,816,274,000","2,107,166,000","675,160,000","539,108,000","191,339,000","85,565,000","57,489,000","87,935,000","51,296,000"
			CurrentDebt,"1,785,000,000","2,567,699,000","896,549,000","1,150,147,000","633,166,000","601,566,000","182,000","50,841,000","7,916,000",,,,
			AccountsPayable,"3,771,000,000","3,404,451,000","2,390,250,000","1,860,341,000","916,148,000","777,946,000","303,969,000","303,382,000","56,141,000","28,951,000","15,086,000","14,184,000","5,369,000"
			CurrentAccruedExpenses,"1,762,000,000","1,121,670,000","1,257,194,000","1,005,100,000","321,592,000","173,052,000","68,053,000","30,088,000","22,237,000","11,755,000","14,532,000","11,145,000","8,512,000"
			CurrentDeferredRevenue,"1,889,000,000","1,422,893,000","1,869,172,000","1,426,985,000","707,331,000","449,238,000","255,035,000","140,722,000","2,345,000","4,635,000","1,377,000","4,073,000","0"
			OtherCurrentLiabilities,"577,000,000","937,221,000","1,075,698,000","231,535,000","136,831,000","21,030,000",,,"91,761,000",,"26,048,000","48,019,000","37,335,000"
			CurrentLiabilities,"10,667,000,000","9,992,136,000","7,674,670,000","5,827,005,000","2,816,274,000","2,107,166,000","675,160,000","539,108,000","191,339,000","85,565,000","57,489,000","87,935,000","51,296,000"
		TotalNonCurrentLiabilitiesNetMinorityInterest,"16,175,000,000","13,989,838,000","15,746,114,000","11,298,985,000","4,187,242,000","2,830,375,000","1,074,650,000","450,382,000","298,064,000","93,469,000","326,458,000","163,478,000","101,387,000"
			LongTermDebt,"11,634,000,000","9,403,672,000","9,418,389,000","5,978,284,000","2,082,420,000","1,864,714,000","586,119,000","401,495,000","268,335,000","71,828,000",,"54,528,000",
			NonCurrentDeferredTaxesLiabilities,,,,,,,"6,821,000",,,,,,
			NonCurrentDeferredRevenue,"1,207,000,000","990,873,000","1,177,799,000","851,790,000","446,105,000","292,271,000","181,180,000","3,060,000","3,146,000","2,783,000","1,240,000","0","0"
			OtherNonCurrentLiabilities,"445,000,000","686,792,000","2,763,315,000","2,591,755,000","1,658,717,000","661,123,000","241,160,000","3,838,000","6,805,000","5,663,000","5,193,000","6,884,000","191,000"
			TotalNonCurrentLiabilitiesNetMinorityInterest,"16,175,000,000","13,989,838,000","15,746,114,000","11,298,985,000","4,187,242,000","2,830,375,000","1,074,650,000","450,382,000","298,064,000","93,469,000","326,458,000","163,478,000","101,387,000"
		TotalLiabilitiesNetMinorityInterest,"26,842,000,000","23,981,974,000","23,420,784,000","17,125,990,000","7,003,516,000","4,937,541,000","1,749,810,000","989,490,000","489,403,000","179,034,000","383,947,000","251,413,000","152,683,000"
	StockholdersEquity,"6,618,000,000","4,923,243,000","4,237,242,000","4,752,911,000","1,088,944,000","911,710,000","667,120,000","124,700,000","224,045,000","207,048,000","-253,523,000","-199,714,000","-117,846,000"
		CapitalStock,"0","173,000","169,000","161,000","131,000","126,000","123,000","115,000","104,000","95,000","7,000","21,000","18,000"
		RetainedEarnings,"-6,083,000,000","-5,317,832,000","-4,974,299,000","-2,997,237,000","-2,322,323,000","-1,433,682,000","-1,139,620,000","-1,065,606,000","-669,392,000","-414,982,000","-260,654,000","-204,914,000","-122,132,000"
		GainsLossesNotAffectingRetainedEarnings,"-36,000,000","-8,218,000","33,348,000","-23,740,000","-3,556,000",,,"0","-3,000",,,,
		StockholdersEquity,"6,618,000,000","4,923,243,000","4,237,242,000","4,752,911,000","1,088,944,000","911,710,000","667,120,000","124,700,000","224,045,000","207,048,000","-253,523,000","-199,714,000","-117,846,000"
	TotalAssets,"34,309,000,000","29,739,614,000","28,655,372,000","22,664,076,000","8,092,460,000","5,849,251,000","2,416,930,000","1,114,190,000","713,448,000","386,082,000","130,424,000","51,699,000","34,837,000"